ID_1,ID_extra,ID_2,ID_3,plot_category,d13c,2sd_d13c,sd_d13c,pyr,aggregates,phase,locality,date,category,extracted,instrument
10860,c,24,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-83.92958209,2.842644933,1.421322467,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,4,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-56.32961447,1.115743025,0.557871512,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,9b,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-57.26615787,1.955517572,0.977758786,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,26,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-41.15798584,0.505610368,0.252805184,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,27,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-32.89274008,0.630087964,0.315043982,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,1,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-52.82819959,1.40571094,0.70285547,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,10,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-45.47941506,1.726533641,0.863266821,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,11,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-101.9692371,1.290412358,0.645206179,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,12,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-46.6357856,1.429441065,0.714720532,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,14,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-43.41289345,0.523569561,0.26178478,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,13,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-42.57224438,0.662451805,0.331225903,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,17,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-45.51333387,0.705922889,0.352961445,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,16,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-36.561445,1.123375624,0.561687812,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,15,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-51.91754556,0.962295146,0.481147573,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10860,c,18,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-58.15754408,0.881440017,0.440720009,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,25,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-67.42702356,3.733026935,1.866513468,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,27,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-36.98144653,3.301505175,1.650752588,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
10926,c,1,Modern seep carbonate,Confirmed by FISH in modern seep carbonate,-55.27422314,2.408977308,1.204488654,,y,,"Jaco Scar. Confirmed by FISH, in situ",2022_11,Micrite/peloid,n,SIMS
